"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Statistics","Get Metadata Server statistics","Statistics","0","0","1","0","0"
"Cluster iSCSI","Get iSCSI LUNs Info by iqn","iSCSI LUNs","0","0","1","0","0"
"User","Change Storage user info","User User","0","0","1","0","0"
"User","Get Storage all users info","User Users","0","0","1","0","0"
"Cluster License","Get cluster license info","License","0","0","1","0","0"
"S3 S3 users list","Add new S3 user","S3 users list","0","0","1","0","0"
"S3 S3 bucket change","Change the bucket registration in Notary Provider","S3 bucket change","0","0","1","0","0"
"Meta","Provides info about all backend server endpoints","Meta","0","0","1","0","0"
"Cluster Clusters","Get cluster password by cluster_id","Clusters","0","0","1","0","0"
"Overview","Get list of all clusters","Overview","0","0","1","0","0"
"S3 Ostor Cluster","Create ostor cluster PUT sync","Ostor Cluster","0","0","1","0","0"
"Cluster License","Register new cluster license","License","0","0","1","0","0"
"MDS","Provides info about single mds","MDS MDS","0","0","1","0","0"
"Cluster Services","Storage Services info","Services","0","0","1","0","0"
"Tasks","Get Task info by id","Tasks","0","0","1","0","0"
"Statistics","Get Chunks Server statistics","Statistics","0","0","1","0","0"
"Cluster iSCSI","Stop iSCSI target by iqn","iSCSI Target","0","0","1","0","0"
"Nodes Nodes","Get Nodes list by cluster_id","Nodes","0","0","2","0","0"
"Nodes Nodes","Get detail info about Node","Nodes","0","0","1","0","0"
"Authorization Endpoints","LogIn Negative","Authorization","0","0","1","0","0"
"S3 S3 users list","Get all S3 users","S3 users list","0","0","1","0","0"
"Cluster iSCSI","Delete iSCSI user by name","iSCSI User","0","0","1","0","0"
"User","Get Storage user info by id","User User","0","0","1","0","0"
"Overview","Cluster overview details info","Overview","0","0","1","0","0"
"S3 S3 user detail","Change S3 user info","S3 user detail","0","0","1","0","0"
"S3 Ostor Cluster","Create ostor cluster","Ostor Cluster","0","0","2","0","0"
"Cluster Cluster","Get cluster info by cluster_id","Cluster","0","0","1","0","0"
"Nodes Nodes","Register new Node in cluster","Nodes","0","0","1","0","0"
"Cluster iSCSI","Get all iSCSI targets info","iSCSI Targets","0","0","1","0","0"
"Cluster","Start chunks server","Chunk Servers","0","0","1","0","0"
"Software update","Start Software update","Software update","0","0","1","0","0"
"MDS","Remove mds from cluster","MDS MDS","0","0","0","1","0"
"Cluster","Get cluster events","Cluster Events","0","0","1","0","0"
"Cluster iSCSI","Get iSCSI target Info by iqn","iSCSI Target","0","0","1","0","0"
